Extra Vel (m/s),0,381,763,1145,1527,1909,2291,2673,3055,3437
2000.0,Dist:0.7809AU|Days:60.3|Ret:Y|Fuel:1150.9kg,Dist:1.2999AU|Days:60.3|Ret:N|Fuel:1150.9kg,Dist:1.0061AU|Days:576.0|Ret:N|Fuel:1150.9kg,Dist:0.2562AU|Days:594.6|Ret:N|Fuel:1150.9kg,Dist:13.9258AU|Days:60.3|Ret:N|Fuel:1150.9kg,Dist:0.2699AU|Days:91.3|Ret:N|Fuel:1150.9kg,Dist:0.0027AU|Days:142.8|Ret:Y|Fuel:1150.9kg,Dist:0.0117AU|Days:203.8|Ret:N|Fuel:1150.9kg,Dist:0.2162AU|Days:264.8|Ret:Y|Fuel:1150.9kg,Dist:0.0660AU|Days:553.0|Ret:N|Fuel:1150.9kg
2104.1666666666665,Dist:0.7805AU|Days:60.3|Ret:Y|Fuel:1226.4kg,Dist:1.3001AU|Days:60.3|Ret:N|Fuel:1226.4kg,Dist:1.0872AU|Days:579.7|Ret:N|Fuel:1226.4kg,Dist:0.1953AU|Days:593.9|Ret:N|Fuel:1226.4kg,Dist:33.9865AU|Days:60.3|Ret:N|Fuel:1226.4kg,Dist:0.2648AU|Days:91.3|Ret:N|Fuel:1226.4kg,Dist:0.0123AU|Days:143.5|Ret:Y|Fuel:1226.4kg,Dist:0.0033AU|Days:205.3|Ret:N|Fuel:1226.4kg,Dist:0.1977AU|Days:267.0|Ret:Y|Fuel:1226.4kg,Dist:0.0645AU|Days:555.5|Ret:N|Fuel:1226.4kg
2208.3333333333335,Dist:0.7802AU|Days:60.3|Ret:Y|Fuel:1303.7kg,Dist:1.3003AU|Days:60.3|Ret:N|Fuel:1303.7kg,Dist:1.1681AU|Days:583.7|Ret:N|Fuel:1303.7kg,Dist:0.1292AU|Days:593.9|Ret:N|Fuel:1303.7kg,Dist:76.7989AU|Days:60.3|Ret:N|Fuel:1303.7kg,Dist:0.2596AU|Days:91.7|Ret:N|Fuel:1303.7kg,Dist:0.0223AU|Days:143.9|Ret:Y|Fuel:1303.7kg,Dist:0.0174AU|Days:206.4|Ret:N|Fuel:1303.7kg,Dist:0.1788AU|Days:269.2|Ret:Y|Fuel:1303.7kg,Dist:0.0644AU|Days:558.5|Ret:N|Fuel:1303.7kg
2312.5,Dist:0.7799AU|Days:60.3|Ret:Y|Fuel:1382.8kg,Dist:1.3005AU|Days:60.3|Ret:N|Fuel:1382.8kg,Dist:1.2485AU|Days:587.3|Ret:N|Fuel:1382.8kg,Dist:0.0586AU|Days:595.0|Ret:N|Fuel:1382.8kg,Dist:8.3740AU|Days:60.3|Ret:N|Fuel:1382.8kg,Dist:0.2543AU|Days:91.7|Ret:N|Fuel:1382.8kg,Dist:0.0324AU|Days:144.6|Ret:Y|Fuel:1382.8kg,Dist:0.0316AU|Days:207.8|Ret:N|Fuel:1382.8kg,Dist:0.1593AU|Days:271.7|Ret:Y|Fuel:1382.8kg,Dist:0.0656AU|Days:561.4|Ret:N|Fuel:1382.8kg
2416.6666666666665,Dist:0.7796AU|Days:60.3|Ret:Y|Fuel:1463.9kg,Dist:1.3007AU|Days:60.3|Ret:N|Fuel:1463.9kg,Dist:1.3279AU|Days:591.7|Ret:N|Fuel:1463.9kg,Dist:0.0162AU|Days:596.5|Ret:N|Fuel:1463.9kg,Dist:6.3581AU|Days:60.3|Ret:N|Fuel:1463.9kg,Dist:0.2490AU|Days:91.7|Ret:N|Fuel:1463.9kg,Dist:0.0429AU|Days:145.4|Ret:Y|Fuel:1463.9kg,Dist:0.0465AU|Days:209.3|Ret:N|Fuel:1463.9kg,Dist:0.1392AU|Days:273.9|Ret:N|Fuel:1463.9kg,Dist:0.0682AU|Days:564.3|Ret:N|Fuel:1463.9kg
2520.8333333333335,Dist:0.7793AU|Days:60.3|Ret:Y|Fuel:1546.9kg,Dist:1.3010AU|Days:60.3|Ret:N|Fuel:1546.9kg,Dist:1.4062AU|Days:595.7|Ret:N|Fuel:1546.9kg,Dist:0.0945AU|Days:598.6|Ret:N|Fuel:1546.9kg,Dist:6.1429AU|Days:60.3|Ret:N|Fuel:1546.9kg,Dist:0.2436AU|Days:92.0|Ret:N|Fuel:1546.9kg,Dist:0.0535AU|Days:146.1|Ret:Y|Fuel:1546.9kg,Dist:0.0618AU|Days:210.7|Ret:N|Fuel:1546.9kg,Dist:0.1186AU|Days:276.1|Ret:N|Fuel:1546.9kg,Dist:0.0722AU|Days:567.6|Ret:N|Fuel:1546.9kg
2625.0,Dist:0.7792AU|Days:60.3|Ret:Y|Fuel:1631.8kg,Dist:1.3012AU|Days:60.3|Ret:N|Fuel:1631.8kg,Dist:1.4830AU|Days:599.7|Ret:N|Fuel:1631.8kg,Dist:0.1758AU|Days:601.6|Ret:N|Fuel:1631.8kg,Dist:9.6983AU|Days:60.3|Ret:N|Fuel:1631.8kg,Dist:0.2382AU|Days:92.0|Ret:N|Fuel:1631.8kg,Dist:0.0642AU|Days:146.8|Ret:Y|Fuel:1631.8kg,Dist:0.0772AU|Days:211.8|Ret:N|Fuel:1631.8kg,Dist:0.0975AU|Days:278.3|Ret:N|Fuel:1631.8kg,Dist:0.0777AU|Days:570.9|Ret:N|Fuel:1631.8kg
2729.166666666667,Dist:0.7790AU|Days:60.3|Ret:Y|Fuel:1718.8kg,Dist:1.3015AU|Days:60.3|Ret:N|Fuel:1718.8kg,Dist:1.5580AU|Days:604.1|Ret:N|Fuel:1718.8kg,Dist:0.2597AU|Days:605.2|Ret:N|Fuel:1718.8kg,Dist:16.7914AU|Days:60.3|Ret:N|Fuel:1718.8kg,Dist:0.2328AU|Days:92.4|Ret:N|Fuel:1718.8kg,Dist:0.0765AU|Days:147.6|Ret:Y|Fuel:1718.8kg,Dist:0.0929AU|Days:213.3|Ret:N|Fuel:1718.8kg,Dist:0.0758AU|Days:280.5|Ret:N|Fuel:1718.8kg,Dist:0.0845AU|Days:574.2|Ret:N|Fuel:1718.8kg
2833.3333333333335,Dist:0.7789AU|Days:60.3|Ret:Y|Fuel:1807.9kg,Dist:1.3017AU|Days:60.3|Ret:N|Fuel:1807.9kg,Dist:1.6301AU|Days:608.5|Ret:Y|Fuel:1807.9kg,Dist:0.3459AU|Days:608.9|Ret:N|Fuel:1807.9kg,Dist:46.8501AU|Days:60.3|Ret:N|Fuel:1807.9kg,Dist:0.2273AU|Days:92.4|Ret:N|Fuel:1807.9kg,Dist:0.0853AU|Days:148.3|Ret:Y|Fuel:1807.9kg,Dist:0.1089AU|Days:214.8|Ret:N|Fuel:1807.9kg,Dist:0.0536AU|Days:282.7|Ret:N|Fuel:1807.9kg,Dist:0.0928AU|Days:577.5|Ret:N|Fuel:1807.9kg
2937.5,Dist:0.7788AU|Days:60.3|Ret:Y|Fuel:1899.2kg,Dist:1.3020AU|Days:60.3|Ret:N|Fuel:1899.2kg,Dist:1.6994AU|Days:612.5|Ret:N|Fuel:1899.2kg,Dist:0.4340AU|Days:613.3|Ret:N|Fuel:1899.2kg,Dist:52.8444AU|Days:60.3|Ret:N|Fuel:1899.2kg,Dist:0.2218AU|Days:92.8|Ret:N|Fuel:1899.2kg,Dist:0.0963AU|Days:148.7|Ret:Y|Fuel:1899.2kg,Dist:0.1253AU|Days:216.2|Ret:N|Fuel:1899.2kg,Dist:0.0309AU|Days:284.9|Ret:N|Fuel:1899.2kg,Dist:0.1027AU|Days:581.1|Ret:N|Fuel:1899.2kg
3041.666666666667,Dist:0.7787AU|Days:60.3|Ret:Y|Fuel:1992.6kg,Dist:1.3023AU|Days:60.3|Ret:N|Fuel:1992.6kg,Dist:1.7068AU|Days:537.3|Ret:N|Fuel:1992.6kg,Dist:0.5236AU|Days:618.0|Ret:N|Fuel:1992.6kg,Dist:3.6429AU|Days:60.3|Ret:N|Fuel:1992.6kg,Dist:0.2162AU|Days:92.8|Ret:N|Fuel:1992.6kg,Dist:0.1077AU|Days:149.4|Ret:Y|Fuel:1992.6kg,Dist:0.1418AU|Days:217.3|Ret:N|Fuel:1992.6kg,Dist:0.0079AU|Days:287.5|Ret:N|Fuel:1992.6kg,Dist:0.1139AU|Days:584.8|Ret:N|Fuel:1992.6kg
3145.8333333333335,Dist:0.7787AU|Days:60.3|Ret:Y|Fuel:2088.2kg,Dist:1.3026AU|Days:60.3|Ret:N|Fuel:2088.2kg,Dist:1.6468AU|Days:542.4|Ret:N|Fuel:2088.2kg,Dist:0.6146AU|Days:622.8|Ret:N|Fuel:2088.2kg,Dist:0.8287AU|Days:60.3|Ret:N|Fuel:2088.2kg,Dist:0.2106AU|Days:92.8|Ret:N|Fuel:2088.2kg,Dist:0.1190AU|Days:150.1|Ret:N|Fuel:2088.2kg,Dist:0.1586AU|Days:218.8|Ret:N|Fuel:2088.2kg,Dist:0.0170AU|Days:289.6|Ret:N|Fuel:2088.2kg,Dist:0.1266AU|Days:588.4|Ret:N|Fuel:2088.2kg
3250.0,Dist:0.7630AU|Days:394.1|Ret:Y|Fuel:2186.2kg,Dist:1.3029AU|Days:60.3|Ret:N|Fuel:2186.2kg,Dist:1.5809AU|Days:547.5|Ret:N|Fuel:2186.2kg,Dist:0.7064AU|Days:628.2|Ret:N|Fuel:2186.2kg,Dist:6.7336AU|Days:60.3|Ret:N|Fuel:2186.2kg,Dist:0.2049AU|Days:93.1|Ret:N|Fuel:2186.2kg,Dist:0.1305AU|Days:150.8|Ret:N|Fuel:2186.2kg,Dist:0.1758AU|Days:220.2|Ret:N|Fuel:2186.2kg,Dist:0.0415AU|Days:291.8|Ret:N|Fuel:2186.2kg,Dist:0.1409AU|Days:592.4|Ret:N|Fuel:2186.2kg
3354.166666666667,Dist:0.6645AU|Days:404.3|Ret:Y|Fuel:2286.4kg,Dist:1.3032AU|Days:60.3|Ret:N|Fuel:2286.4kg,Dist:1.5089AU|Days:553.4|Ret:N|Fuel:2286.4kg,Dist:0.7988AU|Days:633.7|Ret:N|Fuel:2286.4kg,Dist:10.4097AU|Days:60.3|Ret:N|Fuel:2286.4kg,Dist:0.1991AU|Days:93.1|Ret:N|Fuel:2286.4kg,Dist:0.1420AU|Days:151.6|Ret:N|Fuel:2286.4kg,Dist:0.1932AU|Days:221.7|Ret:N|Fuel:2286.4kg,Dist:0.0668AU|Days:294.0|Ret:N|Fuel:2286.4kg,Dist:0.1565AU|Days:596.5|Ret:N|Fuel:2286.4kg
3458.3333333333335,Dist:0.5605AU|Days:414.6|Ret:Y|Fuel:2389.1kg,Dist:1.3035AU|Days:60.3|Ret:N|Fuel:2389.1kg,Dist:1.4308AU|Days:559.2|Ret:N|Fuel:2389.1kg,Dist:0.8914AU|Days:639.6|Ret:N|Fuel:2389.1kg,Dist:18.4012AU|Days:60.3|Ret:N|Fuel:2389.1kg,Dist:0.1933AU|Days:93.5|Ret:N|Fuel:2389.1kg,Dist:0.1537AU|Days:152.3|Ret:N|Fuel:2389.1kg,Dist:0.2109AU|Days:222.8|Ret:N|Fuel:2389.1kg,Dist:0.0927AU|Days:296.2|Ret:N|Fuel:2389.1kg,Dist:0.1291AU|Days:368.5|Ret:N|Fuel:2389.1kg
3562.5,Dist:0.4511AU|Days:424.4|Ret:Y|Fuel:2494.3kg,Dist:1.2318AU|Days:528.2|Ret:N|Fuel:2494.3kg,Dist:1.3463AU|Days:565.4|Ret:N|Fuel:2494.3kg,Dist:0.9837AU|Days:645.8|Ret:N|Fuel:2494.3kg,Dist:52.4895AU|Days:60.3|Ret:N|Fuel:2494.3kg,Dist:0.1875AU|Days:93.5|Ret:N|Fuel:2494.3kg,Dist:0.1655AU|Days:153.0|Ret:N|Fuel:2494.3kg,Dist:0.2289AU|Days:224.3|Ret:N|Fuel:2494.3kg,Dist:0.1193AU|Days:298.8|Ret:N|Fuel:2494.3kg,Dist:0.0916AU|Days:371.8|Ret:N|Fuel:2494.3kg
3666.666666666667,Dist:0.3363AU|Days:433.9|Ret:Y|Fuel:2602.0kg,Dist:1.1235AU|Days:535.1|Ret:N|Fuel:2602.0kg,Dist:1.2553AU|Days:571.6|Ret:N|Fuel:2602.0kg,Dist:1.0752AU|Days:652.0|Ret:N|Fuel:2602.0kg,Dist:45.3906AU|Days:60.3|Ret:N|Fuel:2602.0kg,Dist:0.1817AU|Days:93.9|Ret:N|Fuel:2602.0kg,Dist:0.1774AU|Days:153.8|Ret:N|Fuel:2602.0kg,Dist:0.2472AU|Days:225.7|Ret:N|Fuel:2602.0kg,Dist:0.1463AU|Days:301.0|Ret:N|Fuel:2602.0kg,Dist:0.0529AU|Days:375.1|Ret:N|Fuel:2602.0kg
3770.8333333333335,Dist:0.2160AU|Days:443.0|Ret:Y|Fuel:2712.2kg,Dist:1.0089AU|Days:542.0|Ret:N|Fuel:2712.2kg,Dist:1.1577AU|Days:578.6|Ret:N|Fuel:2712.2kg,Dist:1.1655AU|Days:658.5|Ret:Y|Fuel:2712.2kg,Dist:2.2741AU|Days:60.3|Ret:N|Fuel:2712.2kg,Dist:0.1757AU|Days:93.9|Ret:N|Fuel:2712.2kg,Dist:0.1895AU|Days:154.1|Ret:N|Fuel:2712.2kg,Dist:0.2658AU|Days:227.2|Ret:N|Fuel:2712.2kg,Dist:0.1740AU|Days:303.2|Ret:N|Fuel:2712.2kg,Dist:0.0133AU|Days:378.4|Ret:N|Fuel:2712.2kg
3875.0,Dist:0.0905AU|Days:451.1|Ret:Y|Fuel:2825.1kg,Dist:0.8878AU|Days:549.0|Ret:N|Fuel:2825.1kg,Dist:1.0531AU|Days:585.5|Ret:N|Fuel:2825.1kg,Dist:1.1155AU|Days:597.5|Ret:Y|Fuel:2825.1kg,Dist:28.6366AU|Days:60.3|Ret:N|Fuel:2825.1kg,Dist:0.1698AU|Days:93.9|Ret:N|Fuel:2825.1kg,Dist:0.2016AU|Days:154.9|Ret:N|Fuel:2825.1kg,Dist:0.2846AU|Days:228.3|Ret:N|Fuel:2825.1kg,Dist:0.2024AU|Days:305.3|Ret:Y|Fuel:2825.1kg,Dist:0.0285AU|Days:381.7|Ret:Y|Fuel:2825.1kg
